distance_km,is_available,completion_rate,total_donations,urgent_response_rate,urgency_encoded,blood_match,successful
2.5,1,0.95,15,0.90,3,1,1
5.3,1,0.88,12,0.85,2,1,1
1.8,1,1.00,20,0.95,3,1,1
15.2,1,0.75,8,0.70,2,1,1
25.0,0,0.60,5,0.50,1,1,0
8.5,1,0.90,18,0.88,3,1,1
45.0,1,0.55,3,0.40,2,0,0
3.2,1,0.85,10,0.80,2,1,1
12.0,1,0.70,6,0.65,1,1,1
50.0,0,0.40,2,0.30,0,1,0
7.8,1,0.92,16,0.90,3,1,1
20.0,1,0.65,7,0.60,2,1,1
4.5,1,0.88,14,0.85,3,1,1
35.0,0,0.50,4,0.45,1,0,0
6.2,1,0.95,19,0.92,2,1,1
18.5,1,0.72,9,0.68,2,1,1
2.0,1,1.00,25,0.98,3,1,1
28.0,0,0.55,5,0.48,1,1,0
9.5,1,0.85,13,0.82,2,1,1
42.0,1,0.45,3,0.38,1,0,0
5.8,1,0.90,17,0.88,3,1,1
15.0,1,0.68,8,0.62,1,1,1
3.5,1,0.95,21,0.93,3,1,1
38.0,0,0.48,4,0.40,1,0,0
11.0,1,0.78,11,0.75,2,1,1
22.0,1,0.62,6,0.58,1,1,0
4.0,1,0.92,18,0.90,3,1,1
30.0,0,0.52,5,0.45,1,1,0
7.0,1,0.88,15,0.85,2,1,1
48.0,1,0.42,2,0.35,0,0,0
6.5,1,0.90,16,0.87,3,1,1
19.0,1,0.70,9,0.65,2,1,1
2.8,1,0.98,22,0.95,3,1,1
33.0,0,0.50,4,0.42,1,0,0
8.0,1,0.85,14,0.82,2,1,1
16.5,1,0.72,10,0.68,2,1,1
3.0,1,0.95,20,0.92,3,1,1
26.0,0,0.58,6,0.50,1,1,0
10.0,1,0.80,12,0.78,2,1,1
40.0,1,0.46,3,0.40,1,0,0
5.5,1,0.90,17,0.88,3,1,1
14.0,1,0.75,8,0.70,2,1,1
3.8,1,0.92,19,0.90,3,1,1
35.0,0,0.48,4,0.40,1,0,0
9.0,1,0.82,13,0.80,2,1,1
21.0,1,0.65,7,0.60,1,1,1
4.2,1,0.95,20,0.92,3,1,1
28.0,0,0.55,5,0.48,1,1,0
7.5,1,0.88,15,0.85,2,1,1
45.0,1,0.44,3,0.38,1,0,0
1.5,1,1.00,24,0.98,3,1,1
13.0,1,0.76,9,0.72,2,1,1
6.0,1,0.90,16,0.88,3,1,1
32.0,0,0.52,4,0.45,1,0,0
10.5,1,0.78,11,0.75,2,1,1
23.0,1,0.62,6,0.58,1,1,0
5.0,1,0.92,18,0.90,3,1,1
37.0,0,0.48,4,0.40,1,0,0
8.8,1,0.85,14,0.82,2,1,1
17.0,1,0.70,9,0.65,2,1,1
2.2,1,0.98,23,0.96,3,1,1
29.0,0,0.54,5,0.46,1,1,0
11.5,1,0.80,12,0.77,2,1,1
24.0,1,0.60,6,0.55,1,1,0
4.8,1,0.92,18,0.90,3,1,1
36.0,0,0.50,4,0.42,1,0,0
9.2,1,0.82,13,0.80,2,1,1
18.0,1,0.70,9,0.66,2,1,1
3.2,1,0.95,20,0.92,3,1,1
31.0,0,0.52,5,0.44,1,0,0
12.5,1,0.75,10,0.72,2,1,1
25.0,1,0.60,7,0.56,1,1,0
5.2,1,0.90,17,0.88,3,1,1
39.0,0,0.46,3,0.38,1,0,0
7.2,1,0.88,15,0.85,2,1,1
16.0,1,0.72,8,0.68,2,1,1
2.6,1,0.96,21,0.94,3,1,1
34.0,0,0.50,4,0.42,1,0,0
10.8,1,0.78,11,0.75,2,1,1
22.5,1,0.62,6,0.58,1,1,0
4.5,1,0.92,19,0.90,3,1,1
27.0,0,0.56,5,0.48,1,1,0
8.2,1,0.85,14,0.82,2,1,1
19.5,1,0.68,9,0.64,2,1,1
3.5,1,0.94,20,0.92,3,1,1
30.0,0,0.52,5,0.44,1,0,0
11.2,1,0.78,12,0.76,2,1,1
24.5,1,0.60,6,0.56,1,1,0
5.5,1,0.90,17,0.88,3,1,1
38.0,0,0.48,4,0.40,1,0,0
9.5,1,0.82,13,0.80,2,1,1
17.5,1,0.70,9,0.66,2,1,1
2.9,1,0.96,22,0.94,3,1,1
32.0,0,0.50,4,0.42,1,0,0
12.0,1,0.76,10,0.72,2,1,1
26.0,1,0.58,7,0.54,1,1,0
6.0,1,0.90,16,0.88,3,1,1
40.0,0,0.46,3,0.38,1,0,0
7.8,1,0.86,14,0.84,2,1,1
